status,title,author,date,source_url,body_text_chars
IMPORT,"Maximizing Organic Waste: Anaerobic Digestion for Methane Reduction, Food, and Energy Security",Yevgen Sekretaryuk,2024-08-30T22:44:41.320Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/anaerobic-digestion-for-methane-reduction-food-and-energy-security-the-maximum-potential-of-orga,11936
IMPORT,About Aristotle and Tim Walz,Carolina Oliviero,2024-08-27T14:08:10.496Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/about-aristotle-and-tim-walz,5528
IMPORT,Ukraine Ratifies the Rome Statute – The 28th Member-Country-to-be?,Carolina Oliviero,2024-08-21T14:47:40.349Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/ukraine-ratifies-the-rome-statute-the-28th-member-country-to-be,3719
IMPORT,Human rights are universal...?,Yevgen Sekretaryuk,2024-08-20T11:19:34.015Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/human-rights-are-universal,9813
IMPORT,Transboundary dialogues and cooperation for water security: facing South Asia’s greatest climate threat,Yevgen Sekretaryuk,2024-08-16T14:58:25.988Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/transboundary-dialogues-and-cooperation-for-water-security-facing-south-asia-s-greatest-climate-thr,16718
IMPORT,Why Free Riding in Democracies is a Serious Problem,Carolina Oliviero,2024-08-14T19:57:38.400Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/why-free-riding-in-democracies-is-a-serious-problem,7892
IMPORT,Re-stabilizing US Democracy – Now.,Carolina Oliviero,2024-07-24T06:30:06.552Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/re-stabilizing-us-democracy-now,8585
IMPORT,A Stubborn Old Man or a Genius Master Plan?,Carolina Oliviero,2024-07-19T06:30:28.190Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/a-stubborn-old-man-or-a-genius-master-plan,8352
IMPORT,AfD's Positioning in the EP,Carolina Oliviero,2024-07-16T08:04:46.892Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/afd-s-positioning-in-the-ep,1574
IMPORT,Is the Election over now?,Carolina Oliviero,2024-07-15T13:13:35.453Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/is-the-election-over-now,3557
IMPORT,Orbán – The Isolated Savior,Carolina Oliviero,2024-07-12T06:30:22.698Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/orb%C3%A1n-the-isolated-savior,2582
IMPORT,Three Lessons We Can Learn From Macron’s Gamble,Carolina Oliviero,2024-07-09T20:32:08.884Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/three-lessons-we-can-learn-from-macron-s-gamble,3300
IMPORT,Populist Parties - How Democracies Can Legally Protect Themselves,Carolina Oliviero,2024-06-21T07:01:11.583Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/populist-parties-how-democracies-can-legally-protect-themselves,18542
IMPORT,Three Reasons Why New Elections are the Absolutely Wrong Reaction to the EP Election Results,Carolina Oliviero,2024-06-14T07:00:19.147Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/three-reasons-why-new-elections-are-the-absolutely-wrong-reaction-to-the-ep-election-results,5494
IMPORT,Guilty x 34 – What the Hush Money Process tells us about the State of American Democracy,Carolina Oliviero,2024-06-07T13:02:47.377Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/guilty-x-34-what-the-hush-money-process-tells-us-about-the-state-of-american-democracy,4787
IMPORT,Trump’s success explained by economic losses and racism,Carolina Oliviero,2024-05-30T21:56:48.486Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/trump-s-success-explained-by-economic-losses-and-racism,7014
IMPORT,"Populism, populism, populism. It’s a buzzword. Here is why we still need it.",Carolina Oliviero,2024-05-03T17:05:26.352Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/populism-populism-populism-it-s-a-buzzword-here-is-why-we-still-need-it,8211
IMPORT,South Asia's shadows of British colonialism: the legacy of &quot;divide and rule&quot;,Yevgen Sekretaryuk,2024-03-18T04:58:59.004Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/unpacking-the-shadows-of-colonialism-the-enduring-divide-in-south-asia,11221
IMPORT,"Revisiting unilateral border controls, a democratic dilemma?",Yevgen Sekretaryuk,2024-03-18T04:47:43.747Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/revisiting-border-controls-a-democratic-dilemma,12868
IMPORT,"Afghanistan's stabilization saga. A tale of poor governance, reckless strategy, and terrorist resilience.",Yevgen Sekretaryuk,2024-03-18T04:36:46.102Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/afghanistan-s-stabilization-saga-a-tale-of-governance-strategy-and-resilience,12591
